cluster_id,n_nodes,n_seed,sum_kzt_internal,incoming_external_volume,outgoing_external_volume,top_gids,top_priority_nodes,role_distribution,hypothesis
16,41,0,5151924.19,919297.0,661478.3,100000008413748100;100000003242289100;100000008512552100;100000006225798100;100000003178549100,100000008413748100;100000003242289100;100000008512552100;100000006225798100;100000003178549100,"{""peripheral"": 22, ""terminal"": 14, ""distributor"": 3, ""coordinator"": 2}",Есть связи с несколькими сообществами; проверьте переходы между ними.
17,30,0,8045494.0,1212920.0,907310.0,100000008743913100;100000005527892100;100000002748532100;100000008710843100;100000008758168100,100000008743913100;100000005527892100;100000002748532100;100000008710843100;100000008758168100,"{""terminal"": 14, ""peripheral"": 10, ""distributor"": 4, ""coordinator"": 1, ""consolidator"": 1}",Есть связи с несколькими сообществами; проверьте переходы между ними.
18,30,1,6513430.0,436127.0,147115.0,100000007594394100;100000006274203100;100000008546855100;100000003854444100;100000001049200100,100000007594394100;100000006274203100;100000008546855100;100000003854444100;100000001049200100,"{""terminal"": 12, ""peripheral"": 10, ""distributor"": 4, ""coordinator"": 2, ""consolidator"": 1, ""transit"": 1}",Есть связи с несколькими сообществами; проверьте переходы между ними.
19,29,0,446070.0,23900.0,30500.0,100000008460102100;100000001164648100;100000004891562100;100000002706810100;100000008715513100,100000008460102100;100000001164648100;100000004891562100;100000002706810100;100000008715513100,"{""peripheral"": 27, ""terminal"": 1, ""distributor"": 1}",Есть связи с несколькими сообществами; проверьте переходы между ними.
20,26,14,2289450.0,203680.0,101495.0,100000004403675100;100000005382566100;100000008254069100;100000004041163100;100000003823811100,100000004403675100;100000005382566100;100000008254069100;100000004041163100;100000003823811100,"{""peripheral"": 18, ""consolidator"": 3, ""distributor"": 2, ""terminal"": 2, ""coordinator"": 1}",Группа с высокой долей исходных счетов; проверьте общие направления переводов.
21,20,0,617900.0,16800.0,0.0,100000001427082100;100000003154105100;100000002448088100;100000000723383100;100000002185328100,100000001427082100;100000003154105100;100000002448088100;100000000723383100;100000002185328100,"{""peripheral"": 16, ""distributor"": 3, ""consolidator"": 1}",Гипотеза: группа переводов с преобладанием роли «периферия» (16/20 узлов).
22,18,0,3422800.0,302009.0,51400.0,100000003701161100;100000003718221100;100000002267998100;100000008137435100;100000004580202100,100000003701161100;100000003718221100;100000002267998100;100000008137435100;100000004580202100,"{""peripheral"": 7, ""terminal"": 6, ""distributor"": 4, ""coordinator"": 1}",Гипотеза: группа переводов с преобладанием роли «периферия» (7/18 узлов).
23,17,1,21586840.0,17000.0,0.0,100000002224132100;100000004603109100;100000005664922100;100000001965374100;100000004892144100,100000002224132100;100000004603109100;100000005664922100;100000001965374100;100000004892144100,"{""peripheral"": 8, ""terminal"": 4, ""distributor"": 3, ""consolidator"": 2}",Гипотеза: группа переводов с преобладанием роли «периферия» (8/17 узлов).
24,17,1,2977887.0,0.0,0.0,100000004160650100;100000002731501100;100000001330595100;100000003616818100;100000004005964100,100000004160650100;100000002731501100;100000001330595100;100000003616818100;100000004005964100,"{""terminal"": 6, ""distributor"": 5, ""peripheral"": 5, ""consolidator"": 1}",Гипотеза: группа переводов с преобладанием роли «конечный получатель» (6/17 узлов).
25,15,0,850450.0,13070.0,0.0,100000001526235100;100000001788284100;100000005505655100;100000002472632100;100000002984403100,100000001526235100;100000001788284100;100000005505655100;100000002472632100;100000002984403100,"{""peripheral"": 11, ""distributor"": 2, ""terminal"": 2}",Гипотеза: группа переводов с преобладанием роли «периферия» (11/15 узлов).
26,15,0,3626010.0,5300.0,0.0,100000008461532100;100000000791285100;100000006704530100;100000003122817100;100000003470579100,100000008461532100;100000000791285100;100000006704530100;100000003122817100;100000003470579100,"{""peripheral"": 8, ""terminal"": 4, ""coordinator"": 1, ""distributor"": 1, ""transit"": 1}",Гипотеза: группа переводов с преобладанием роли «периферия» (8/15 узлов).
27,15,0,3436955.0,541373.0,190000.0,100000004221668100;100000006240939100;100000003111305100;100000002152857100;100000005171642100,100000004221668100;100000006240939100;100000003111305100;100000002152857100;100000005171642100,"{""peripheral"": 7, ""terminal"": 4, ""distributor"": 2, ""consolidator"": 1, ""transit"": 1}",Есть связи с несколькими сообществами; проверьте переходы между ними.
28,14,0,1605604.0,31000.0,0.0,100000007382543100;100000008213966100;100000003001661100;100000000838385100;100000008655779100,100000007382543100;100000008213966100;100000003001661100;100000000838385100;100000008655779100,"{""peripheral"": 11, ""coordinator"": 1, ""consolidator"": 1, ""distributor"": 1}",Гипотеза: группа переводов с преобладанием роли «периферия» (11/14 узлов).
29,13,1,1392916.0,0.0,0.0,100000001380054100;100000006232815100;100000003164661100;100000005077484100;100000001782980100,100000001380054100;100000006232815100;100000003164661100;100000005077484100;100000001782980100,"{""peripheral"": 6, ""terminal"": 5, ""distributor"": 2}",Гипотеза: группа переводов с преобладанием роли «периферия» (6/13 узлов).
30,13,0,6748650.0,395000.0,99999.0,100000007442518100;100000008258083100;100000000673868100;100000000821507100;100000002911170100,100000007442518100;100000008258083100;100000000673868100;100000000821507100;100000002911170100,"{""terminal"": 7, ""peripheral"": 3, ""coordinator"": 2, ""distributor"": 1}",Есть связи с несколькими сообществами; проверьте переходы между ними.
31,11,0,3784703.0,68702.8,0.0,100000003004487100;100000002175422100;100000003557488100;100000001317336100;100000002710570100,100000003004487100;100000002175422100;100000003557488100;100000001317336100;100000002710570100,"{""peripheral"": 6, ""terminal"": 3, ""coordinator"": 1, ""distributor"": 1}",Гипотеза: группа переводов с преобладанием роли «периферия» (6/11 узлов).
32,10,0,322010.0,90265.0,12920.0,100000008172352100;100000007322059100;100000004552204100;100000000993112100;100000001597505100,100000008172352100;100000007322059100;100000004552204100;100000000993112100;100000001597505100,"{""peripheral"": 6, ""terminal"": 3, ""distributor"": 1}",Есть связи с несколькими сообществами; проверьте переходы между ними.
33,10,0,603900.0,25000.0,0.0,100000003635170100;100000004209339100;100000002156381100;100000008501413100;100000002696152100,100000003635170100;100000004209339100;100000002156381100;100000008501413100;100000002696152100,"{""peripheral"": 7, ""coordinator"": 1, ""terminal"": 1, ""transit"": 1}",Гипотеза: группа переводов с преобладанием роли «периферия» (7/10 узлов).
34,10,0,1727065.0,46250.0,8000.0,100000004076740100;100000004017410100;100000005519998100;100000004336312100;100000005767403100,100000004076740100;100000004017410100;100000005519998100;100000004336312100;100000005767403100,"{""peripheral"": 4, ""distributor"": 3, ""terminal"": 2, ""consolidator"": 1}",Есть связи с несколькими сообществами; проверьте переходы между ними.
35,9,0,1406982.0,52900.0,0.0,100000002217161100;100000001445848100;100000007647294100;100000008254576100;100000002242066100,100000002217161100;100000001445848100;100000007647294100;100000008254576100;100000002242066100,"{""peripheral"": 5, ""terminal"": 2, ""coordinator"": 1, ""transit"": 1}",Гипотеза: группа переводов с преобладанием роли «периферия» (5/9 узлов).
36,8,0,2473417.91,100000.0,0.0,100000004906181100;100000008175078100;100000008675322100;100000000557536100;100000008349740100,100000004906181100;100000008175078100;100000008675322100;100000000557536100;100000008349740100,"{""peripheral"": 7, ""distributor"": 1}",Гипотеза: группа переводов с преобладанием роли «периферия» (7/8 узлов).
37,8,0,389000.0,23000.0,0.0,100000005507142100;100000002612809100;100000002214207100;100000000600707100;100000004066370100,100000005507142100;100000002612809100;100000002214207100;100000000600707100;100000004066370100,"{""peripheral"": 6, ""distributor"": 2}",Гипотеза: группа переводов с преобладанием роли «периферия» (6/8 узлов).
38,7,0,143000.0,5132.0,0.0,100000004508696100;100000005911352100;100000000507799100;100000002217806100;100000004549591100,100000004508696100;100000005911352100;100000000507799100;100000002217806100;100000004549591100,"{""peripheral"": 5, ""distributor"": 2}",Гипотеза: группа переводов с преобладанием роли «периферия» (5/7 узлов).
39,7,0,3077000.0,280000.0,0.0,100000002241986100;100000001053894100;100000002594214100;100000004047887100;100000001286703100,100000002241986100;100000001053894100;100000002594214100;100000004047887100;100000001286703100,"{""peripheral"": 6, ""distributor"": 1}",Гипотеза: группа переводов с преобладанием роли «периферия» (6/7 узлов).
40,7,0,1765600.0,9613.0,0.0,100000007392365100;100000007865484100;100000008551752100;100000003631015100;100000004976946100,100000007392365100;100000007865484100;100000008551752100;100000003631015100;100000004976946100,"{""peripheral"": 6, ""distributor"": 1}",Гипотеза: группа переводов с преобладанием роли «периферия» (6/7 узлов).
41,7,0,1268308.0,17000.0,25000.0,100000008011159100;100000006169033100;100000006232642100;100000003664994100;100000005754335100,100000008011159100;100000006169033100;100000006232642100;100000003664994100;100000005754335100,"{""peripheral"": 3, ""terminal"": 2, ""coordinator"": 1, ""distributor"": 1}",Есть связи с несколькими сообществами; проверьте переходы между ними.
42,6,1,1615030.0,0.0,0.0,100000008193577100;100000008736940100;100000008751429100;100000008659445100;100000005456919100,100000008193577100;100000008736940100;100000008751429100;100000008659445100;100000005456919100,"{""distributor"": 3, ""peripheral"": 2, ""consolidator"": 1}",Преобладают признаки распределения; проверьте получателей и временную последовательность.
43,6,1,1527967.0,0.0,0.0,100000000580561100;100000007939160100;100000005183943100;100000003888271100;100000007930878100,100000000580561100;100000007939160100;100000005183943100;100000003888271100;100000007930878100,"{""peripheral"": 4, ""distributor"": 1, ""terminal"": 1}",Гипотеза: группа переводов с преобладанием роли «периферия» (4/6 узлов).
44,6,0,2540000.0,12000.0,0.0,100000004717647100;100000004479404100;100000002922000100;100000002659103100;100000001533161100,100000004717647100;100000004479404100;100000002922000100;100000002659103100;100000001533161100,"{""peripheral"": 5, ""distributor"": 1}",Гипотеза: группа переводов с преобладанием роли «периферия» (5/6 узлов).
45,6,1,275885.0,0.0,0.0,100000005895525100;100000002462183100;100000005485830100;100000007175718100;100000005056870100,100000005895525100;100000002462183100;100000005485830100;100000007175718100;100000005056870100,"{""terminal"": 4, ""distributor"": 1, ""peripheral"": 1}",Гипотеза: группа переводов с преобладанием роли «конечный получатель» (4/6 узлов).
46,6,0,2534500.0,237068.0,0.0,100000003747133100;100000004722765100;100000005075949100;100000006527156100;100000002578653100,100000003747133100;100000004722765100;100000005075949100;100000006527156100;100000002578653100,"{""peripheral"": 3, ""coordinator"": 1, ""distributor"": 1, ""terminal"": 1}",Есть связи с несколькими сообществами; проверьте переходы между ними.
47,6,0,720900.0,55000.0,0.0,100000008761219100;100000007472293100;100000006638021100;100000008333492100;100000002794374100,100000008761219100;100000007472293100;100000006638021100;100000008333492100;100000002794374100,"{""peripheral"": 4, ""coordinator"": 1, ""distributor"": 1}",Есть связи с несколькими сообществами; проверьте переходы между ними.
48,6,1,383300.0,0.0,0.0,100000004094958100;100000005546031100;100000005363908100;100000004331458100;100000005547096100,100000004094958100;100000005546031100;100000005363908100;100000004331458100;100000005547096100,"{""transit"": 2, ""distributor"": 1, ""consolidator"": 1, ""peripheral"": 1, ""terminal"": 1}",Гипотеза: группа переводов с преобладанием роли «транзит» (2/6 узлов).
49,5,0,1189154.0,8000.0,0.0,100000000291906100;100000004670388100;100000000291908100;100000004722630100;100000004691350100,100000000291906100;100000004670388100;100000000291908100;100000004722630100;100000004691350100,"{""peripheral"": 4, ""coordinator"": 1}",Гипотеза: группа переводов с преобладанием роли «периферия» (4/5 узлов).
50,5,0,172000.0,5000.0,0.0,100000005031696100;100000004659919100;100000001223977100;100000002700161100;100000008461217100,100000005031696100;100000004659919100;100000001223977100;100000002700161100;100000008461217100,"{""peripheral"": 5}",Гипотеза: группа переводов с преобладанием роли «периферия» (5/5 узлов).
51,5,0,338950.0,5000.0,11500.0,100000004715209100;100000008190411100;100000003133045100;100000004747154100;100000001498732100,100000004715209100;100000008190411100;100000003133045100;100000004747154100;100000001498732100,"{""peripheral"": 4, ""distributor"": 1}",Гипотеза: группа переводов с преобладанием роли «периферия» (4/5 узлов).
52,5,1,2809200.0,0.0,0.0,100000004135268100;100000002738256100;100000004979498100;100000008571433100;100000007507343100,100000004135268100;100000002738256100;100000004979498100;100000008571433100;100000007507343100,"{""peripheral"": 2, ""transit"": 2, ""terminal"": 1}",Гипотеза: группа переводов с преобладанием роли «периферия» (2/5 узлов).
53,5,2,108007.0,0.0,0.0,100000006562026100;100000006249740100;100000007347733100;100000008129393100;100000006831291100,100000006562026100;100000006249740100;100000007347733100;100000008129393100;100000006831291100,"{""peripheral"": 2, ""terminal"": 2, ""distributor"": 1}",Группа с высокой долей исходных счетов; проверьте общие направления переводов.
54,4,0,460000.0,38818.0,0.0,100000006069103100;100000000201868100;100000003192220100;100000006787636100,100000006069103100;100000000201868100;100000003192220100;100000006787636100,"{""terminal"": 2, ""coordinator"": 1, ""transit"": 1}",Гипотеза: группа переводов с преобладанием роли «конечный получатель» (2/4 узлов).
55,4,0,518000.0,17100.0,0.0,100000002205022100;100000003163886100;100000000629812100;100000001380107100,100000002205022100;100000003163886100;100000000629812100;100000001380107100,"{""terminal"": 2, ""distributor"": 1, ""peripheral"": 1}",Гипотеза: группа переводов с преобладанием роли «конечный получатель» (2/4 узлов).
56,4,1,1404980.0,0.0,0.0,100000001872484100;100000000785800100;100000008601794100;100000002459163100,100000001872484100;100000000785800100;100000008601794100;100000002459163100,"{""peripheral"": 1, ""distributor"": 1, ""terminal"": 1, ""transit"": 1}",Гипотеза: группа переводов с преобладанием роли «периферия» (1/4 узлов).
57,4,0,1595700.0,56520.0,0.0,100000001052945100;100000001131403100;100000004616845100;100000005146665100,100000001052945100;100000001131403100;100000004616845100;100000005146665100,"{""peripheral"": 3, ""distributor"": 1}",Гипотеза: группа переводов с преобладанием роли «периферия» (3/4 узлов).
58,4,0,832800.0,64000.0,0.0,100000003159641100;100000008625905100;100000001065234100;100000002194320100,100000003159641100;100000008625905100;100000001065234100;100000002194320100,"{""peripheral"": 3, ""consolidator"": 1}",Есть связи с несколькими сообществами; проверьте переходы между ними.
59,4,1,79050.0,0.0,0.0,100000001852140100;100000003148220100;100000004971871100;100000006888238100,100000001852140100;100000003148220100;100000004971871100;100000006888238100,"{""peripheral"": 3, ""terminal"": 1}",Гипотеза: группа переводов с преобладанием роли «периферия» (3/4 узлов).
60,4,0,332709.0,9500.0,0.0,100000002513028100;100000004610802100;100000002516862100;100000004780083100,100000002513028100;100000004610802100;100000002516862100;100000004780083100,"{""peripheral"": 3, ""distributor"": 1}",Гипотеза: группа переводов с преобладанием роли «периферия» (3/4 узлов).
61,3,1,450000.0,0.0,0.0,100000000769919100;100000002371751100;100000007018630100,100000000769919100;100000002371751100;100000007018630100,"{""peripheral"": 2, ""terminal"": 1}",Группа с высокой долей исходных счетов; проверьте общие направления переводов.
62,3,0,553830.0,24000.0,0.0,100000003321895100;100000003692843100;100000002371892100,100000003321895100;100000003692843100;100000002371892100,"{""peripheral"": 3}",Гипотеза: группа переводов с преобладанием роли «периферия» (3/3 узлов).
63,3,1,390167.62,0.0,13420.0,100000002781227100;100000002796853100;100000008522127100,100000002781227100;100000002796853100;100000008522127100,"{""peripheral"": 2, ""transit"": 1}",Группа с высокой долей исходных счетов; проверьте общие направления переводов.
64,3,0,1557988.0,19000.0,0.0,100000008258458100;100000004035925100;100000008619159100,100000008258458100;100000004035925100;100000008619159100,"{""peripheral"": 3}",Гипотеза: группа переводов с преобладанием роли «периферия» (3/3 узлов).
65,3,1,450816.0,0.0,0.0,100000005034574100;100000007283257100;100000004388983100,100000005034574100;100000007283257100;100000004388983100,"{""terminal"": 2, ""peripheral"": 1}",Группа с высокой долей исходных счетов; проверьте общие направления переводов.
66,3,0,627870.0,50000.0,0.0,100000008628231100;100000004666651100;100000005664632100,100000008628231100;100000004666651100;100000005664632100,"{""terminal"": 2, ""peripheral"": 1}",Гипотеза: группа переводов с преобладанием роли «конечный получатель» (2/3 узлов).
67,2,0,761255.0,5000.0,0.0,100000000583220100;100000004586598100,100000000583220100;100000004586598100,"{""peripheral"": 2}",Гипотеза: группа переводов с преобладанием роли «периферия» (2/2 узлов).
68,2,1,30000.0,0.0,0.0,100000003980083100;100000003200071100,100000003980083100;100000003200071100,"{""peripheral"": 1, ""terminal"": 1}",Группа с высокой долей исходных счетов; проверьте общие направления переводов.
69,2,1,81465.0,0.0,0.0,100000003865939100;100000005392290100,100000003865939100;100000005392290100,"{""peripheral"": 1, ""terminal"": 1}",Группа с высокой долей исходных счетов; проверьте общие направления переводов.
70,2,0,584900.0,20000.0,20000.0,100000008430691100;100000007330432100,100000008430691100;100000007330432100,"{""peripheral"": 2}",Гипотеза: группа переводов с преобладанием роли «периферия» (2/2 узлов).
71,2,0,857500.0,180000.0,0.0,100000008324800100;100000007390016100,100000008324800100;100000007390016100,"{""consolidator"": 1, ""peripheral"": 1}",Преобладают признаки консолидации; проверьте источники поступлений.
72,1,1,0.0,0.0,0.0,100000000456947100,100000000456947100,"{""peripheral"": 1}",Изолированный узел; структура по наблюдаемым переводам не определяется.
73,1,1,0.0,0.0,0.0,100000003265658100,100000003265658100,"{""peripheral"": 1}",Изолированный узел; структура по наблюдаемым переводам не определяется.
74,1,1,0.0,0.0,0.0,100000003349739100,100000003349739100,"{""peripheral"": 1}",Изолированный узел; структура по наблюдаемым переводам не определяется.
75,1,1,0.0,0.0,0.0,100000003770083100,100000003770083100,"{""peripheral"": 1}",Изолированный узел; структура по наблюдаемым переводам не определяется.
76,1,1,0.0,0.0,0.0,100000004021459100,100000004021459100,"{""peripheral"": 1}",Изолированный узел; структура по наблюдаемым переводам не определяется.
77,1,1,0.0,0.0,0.0,100000004174835100,100000004174835100,"{""peripheral"": 1}",Изолированный узел; структура по наблюдаемым переводам не определяется.
78,1,1,0.0,0.0,0.0,100000005017150100,100000005017150100,"{""peripheral"": 1}",Изолированный узел; структура по наблюдаемым переводам не определяется.
79,1,1,0.0,0.0,0.0,100000005087431100,100000005087431100,"{""peripheral"": 1}",Изолированный узел; структура по наблюдаемым переводам не определяется.
80,1,1,0.0,0.0,0.0,100000005235389100,100000005235389100,"{""peripheral"": 1}",Изолированный узел; структура по наблюдаемым переводам не определяется.
81,1,1,0.0,0.0,0.0,100000005480435100,100000005480435100,"{""peripheral"": 1}",Изолированный узел; структура по наблюдаемым переводам не определяется.
82,1,1,0.0,0.0,0.0,100000005495722100,100000005495722100,"{""peripheral"": 1}",Изолированный узел; структура по наблюдаемым переводам не определяется.
83,1,1,0.0,0.0,0.0,100000005550592100,100000005550592100,"{""peripheral"": 1}",Изолированный узел; структура по наблюдаемым переводам не определяется.
84,1,1,0.0,0.0,0.0,100000005560900100,100000005560900100,"{""peripheral"": 1}",Изолированный узел; структура по наблюдаемым переводам не определяется.
85,1,1,0.0,0.0,0.0,100000005568407100,100000005568407100,"{""peripheral"": 1}",Изолированный узел; структура по наблюдаемым переводам не определяется.
86,1,1,0.0,0.0,0.0,100000008117324100,100000008117324100,"{""peripheral"": 1}",Изолированный узел; структура по наблюдаемым переводам не определяется.
87,1,1,0.0,0.0,0.0,100000008205000100,100000008205000100,"{""peripheral"": 1}",Изолированный узел; структура по наблюдаемым переводам не определяется.
88,1,1,0.0,0.0,0.0,100000008513251100,100000008513251100,"{""peripheral"": 1}",Изолированный узел; структура по наблюдаемым переводам не определяется.
89,1,1,0.0,0.0,0.0,100000008669037100,100000008669037100,"{""peripheral"": 1}",Изолированный узел; структура по наблюдаемым переводам не определяется.
90,1,1,0.0,0.0,0.0,100000008701222100,100000008701222100,"{""peripheral"": 1}",Изолированный узел; структура по наблюдаемым переводам не определяется.
